"","Susc_FN","Evaluation","Likert_Evaluation","Education_Score","Age","Gender","Income_Score","CRT_Score","Dummy_Congruence","Familiar_Dummy","Duration","Dig_Lit_Avg","Article_day","ResponseId","Ideology_Score","Treat_Search"
"190",0,"Misl/False",2,0,18,"Other",1,3,0,0,"1298",2.6,"jan 21_3","R_3imtssSYXk3uVDv",-3,1
"191",0,"CND",2,1,62,"Female",0,2,0,0,"1083",4.5,"jan 21_3","R_1cTVFuDulGlGaeL",-1,1
"192",0,"Misl/False",4,1,54,"Female",0,0,1,0,"1057",3.6,"jan 21_3","R_RKzBkU9GjEm1HDH",2,1
"193",0,"CND",5,1,44,"Female",0,1,0,0,"473",3.6,"jan 21_3","R_1eLZeKbzZyNQQCG",-2,1
"194",0,"CND",3,1,59,"Female",0,0,0,0,"773",3.9,"jan 21_3","R_1LTgpFk5srWleD1",0,1
"195",0,"CND",4,1,30,"Male",0,2,1,0,"1363",2.2,"jan 21_3","R_3im1FT3hXviSjEN",1,1
"196",0,"Misl/False",2,1,69,"Male",0,1,0,0,"1446",3.1,"jan 21_3","R_2QrJUrQQjtQnMJi",0,1
"197",0,"CND",4,1,59,"Female",0,1,NA,0,"1488",3.4,"jan 21_3","R_OfX65VKU3JtgpLH",NA,1
"198",1,"True",7,1,63,"Female",0,1,0,0,"4141",2.9,"jan 21_3","R_339zHnkzZXl1MTX",0,1
"199",0,"CND",4,3,42,"Male",2,2,0,0,"1143",3.8,"jan 21_3","R_3hyFKKhfTJieSEJ",0,1
"200",1,"True",7,2,70,"Male",0,2,1,0,"5600",3.9,"jan 21_3","R_3mmjJZHBJfClpcO",2,1
"201",1,"True",6,4,49,"Male",3,2,1,0,"1195",4.2,"jan 21_3","R_2veuCAiWX5izqep",3,1
"202",0,"Misl/False",2,2,41,"Female",0,2,1,0,"1877",4.3,"jan 21_3","R_1eF7zhYkwH40Pyt",2,1
"203",1,"True",5,3,38,"Male",0,0,0,0,"784",3.9,"jan 21_3","R_3fE0BUpaQAB9Ofb",-3,1
"204",0,"Misl/False",1,3,41,"Male",0,2,0,0,"1547",3.9,"jan 21_3","R_1nUV7TQdvFuRyPC",0,1
"205",1,"True",6,4,50,"Male",3,4,1,0,"1409",4.1,"jan 21_3","R_V3ZD91xNvljky2J",2,1
"206",1,"True",6,2,39,"Male",0,1,0,0,"1796",2.7,"jan 21_3","R_2qdtdpLNgqlMFSA",-1,1
"207",1,"True",5,4,45,"Male",2,3,1,0,"1022",4,"jan 21_3","R_3NOKXrN4XKooV7H",2,1
"208",0,"Misl/False",2,1,45,"Female",1,1,0,0,"1740",4.5,"jan 21_3","R_1g7nEh7q4fYdBsF",0,1
"209",0,"CND",3,4,28,"Female",3,2,0,0,"650",4.6,"jan 21_3","R_yywNlo6Skd0p3Ed",-2,1
